,approximator,order,n_players,budget,init_time,compute_time,total_time
0,KernelSHAP,1,10,10000,0.000179290771484375,0.01747298240661621,0.017652273178100586
1,RegressionFSII,1,10,10000,0.0001499652862548828,0.021844863891601562,0.021994829177856445
2,KernelSHAPIQ,1,10,10000,0.00016689300537109375,0.01798725128173828,0.018154144287109375
3,KernelSHAP,1,10,10000,0.00015091896057128906,0.017728090286254883,0.017879009246826172
4,RegressionFSII,1,10,10000,0.00016307830810546875,0.021818876266479492,0.02198195457458496
5,KernelSHAPIQ,1,10,10000,0.0001537799835205078,0.017529010772705078,0.017682790756225586
6,KernelSHAP,1,10,10000,0.00014781951904296875,0.018122196197509766,0.018270015716552734
7,RegressionFSII,1,10,10000,0.00018310546875,0.02252984046936035,0.02271294593811035
8,KernelSHAPIQ,1,10,10000,0.00015091896057128906,0.01743602752685547,0.017586946487426758
9,KernelSHAP,1,12,10000,0.00015997886657714844,0.08083200454711914,0.08099198341369629
10,RegressionFSII,1,12,10000,0.00015282630920410156,0.12994384765625,0.1300966739654541
11,KernelSHAPIQ,1,12,10000,0.00013399124145507812,0.08025908470153809,0.08039307594299316
12,KernelSHAP,1,12,10000,0.00014209747314453125,0.08114814758300781,0.08129024505615234
13,RegressionFSII,1,12,10000,0.0001289844512939453,0.12610983848571777,0.12623882293701172
14,KernelSHAPIQ,1,12,10000,0.00012993812561035156,0.08100724220275879,0.08113718032836914
15,KernelSHAP,1,12,10000,0.00011396408081054688,0.08176612854003906,0.08188009262084961
16,RegressionFSII,1,12,10000,0.00013017654418945312,0.12555694580078125,0.1256871223449707
17,KernelSHAPIQ,1,12,10000,0.00011181831359863281,0.08037710189819336,0.08048892021179199
18,RegressionFSII,2,10,10000,0.00012612342834472656,0.09470701217651367,0.0948331356048584
19,KernelSHAPIQ,2,10,10000,0.00011491775512695312,0.08778595924377441,0.08790087699890137
20,RegressionFSII,2,10,10000,0.00011110305786132812,0.09465813636779785,0.09476923942565918
21,KernelSHAPIQ,2,10,10000,0.00011110305786132812,0.08925008773803711,0.08936119079589844
22,RegressionFSII,2,10,10000,0.000125885009765625,0.09474825859069824,0.09487414360046387
23,KernelSHAPIQ,2,10,10000,0.00011801719665527344,0.0892186164855957,0.08933663368225098
24,RegressionFSII,2,12,10000,0.00012493133544921875,0.5772409439086914,0.5773658752441406
25,KernelSHAPIQ,2,12,10000,0.00011110305786132812,0.4897458553314209,0.4898569583892822
26,RegressionFSII,2,12,10000,0.00012493133544921875,0.5848250389099121,0.5849499702453613
27,KernelSHAPIQ,2,12,10000,0.00011610984802246094,0.47858691215515137,0.47870302200317383
28,RegressionFSII,2,12,10000,0.0001220703125,0.5861320495605469,0.5862541198730469
29,KernelSHAPIQ,2,12,10000,0.0001430511474609375,0.48254990577697754,0.4826929569244385
